"title","geolocation","domain","network"
"Arizona Sun Times","Arizona","arizonasuntimes.com","Star"
"Florida Capital Star","Florida","floridacapitalstar.com","Star"
"Georgia Star News","Georgia","georgiastarnews.com","Star"
"Pennsylvania Daily Star","Pennsylvania","pennsylvaniadailystar.com","Star"
"Tennessee Star","Tennessee","tennesseestar.com","Star"
"Connecticut Star","Connecticut","theconnecticutstar.com","Star"
"Michigan Star","Michigan","themichiganstar.com","Star"
"Minnesota Sun","Minnesota","theminnesotasun.com","Star"
"Ohio Star","Ohio","theohiostar.com","Star"
"Virginia Star","Virginia","thevirginiastar.com","Star"
"Wisconsin Daily Star","Wisconsin","wisconsindailystar.com","Star"

